16:20:16 publish: release 1789939216 signed and published: fleet-overrides.env (6618 B, 34fff77683c9) | the entry point polls every ~30 s; `release.py wait` follows the rollout
16:20:16 settle: files PENDING, 1/11 serving, 1 version(s), restarts 0 8 8 7 6 6 5 5 5 4 4, steady 0/3
16:20:47 settle: files ok, 1/11 serving, 2 version(s), restarts 0 8 8 7 6 6 5 5 5 4 4, steady 0/3
16:21:17 settle: files ok, 0/11 serving, 1 version(s), restarts 0 0 0 0 0 0 0 0 0 0 0, steady 0/3
16:21:53 settle: files ok, 1/11 serving, 1 version(s), restarts 0 0 0 0 0 0 0 0 0 0 0, steady 0/3
16:22:23 settle: files ok, 2/11 serving, 1 version(s), restarts 0 1 1 1 0 1 0 1 1 0 0, steady 0/3
16:22:59 settle: files ok, 2/11 serving, 1 version(s), restarts 0 1 1 1 0 1 0 1 1 0 0, steady 0/3
16:23:30 settle: files ok, 4/11 serving, 1 version(s), restarts 0 2 2 2 1 1 1 1 1 0 0, steady 0/3
16:24:05 settle: files ok, 4/11 serving, 1 version(s), restarts 0 2 2 2 1 1 1 1 1 0 0, steady 0/3
16:24:41 settle: files ok, 5/11 serving, 1 version(s), restarts 0 2 3 3 2 2 1 1 1 0 0, steady 0/3
16:25:11 settle: files ok, 5/11 serving, 1 version(s), restarts 0 3 3 3 2 2 1 1 1 0 0, steady 0/3
16:25:47 settle: files ok, 9/11 serving, 1 version(s), restarts 0 3 3 3 2 2 1 1 1 0 0, steady 0/3
16:26:17 settle: files ok, 11/11 serving, 1 version(s), restarts 0 3 3 3 2 2 1 1 1 0 0, steady 1/3
16:26:53 settle: files ok, 11/11 serving, 1 version(s), restarts 0 3 3 3 2 2 1 1 1 0 0, steady 2/3
16:27:24 settle: files ok, 11/11 serving, 1 version(s), restarts 0 3 3 3 2 2 1 1 1 0 0, steady 3/3
finished
