phase,family,streams,requests,tokens_req,tokens,chunks,wall_s,steady_aggregate_tok_s,steady_per_stream_tok_s,aggregate_tok_s,overlap_s,stream_tok_s_median,stream_tok_s_p10,stream_tok_s_p90,stream_tok_s_max,ttft_median_s,ttft_p95_s,ttft_max_s,prompt_tokens_median,completion_tokens_median,early_finish,unique_prompts,capture_writes,capacity_retries,engine_queue_rejections
mixed_a_c001,mixed,1,12,128,1536,1536,295.6912920475006,5.676967862223407,5.676967862223407,5.19460681227384,268.45316672325134,5.711846905587278,3.846332191222549,8.789297552006019,10.9211510344857,2.181649923324585,2.6474583029747008,2.934467077255249,33.0,128.0,0,12,enabled,0,0
mixed_a_c002,mixed,2,12,128,1536,1536,348.79088497161865,4.551774218222635,2.2758871091113173,4.4037848068334275,330.85999608039856,2.2826908356925215,2.2670302504498423,2.2922039278777495,2.293217461370149,2.0561941862106323,2.9425768494606017,3.010003089904785,33.0,128.0,0,12,enabled,0,0
mixed_a_c004,mixed,4,12,128,1536,1536,176.7459478378296,9.18110564114542,2.295276410286355,8.690439689227457,163.2700960636139,2.291600389747824,2.2639726630335515,2.315641374748804,2.3204979548140043,3.31041419506073,3.735021340847015,3.7864468097686768,33.0,128.0,0,12,enabled,0,0
mixed_a_c006,mixed,6,12,128,1536,1536,119.71931982040405,13.940249282683268,2.3233748804472114,12.830009411214645,106.45433735847473,2.2943930946225537,2.260958647404203,2.323344134099328,2.323972016490307,3.438386917114258,5.50604876279831,5.506725788116455,33.0,128.0,0,12,enabled,0,0
mixed_a_c008,mixed,8,16,128,2048,2048,121.44296479225159,18.622968759930625,2.327871094991328,16.863883416412346,105.78334879875183,2.291169270216011,2.238326354843191,2.3284597195738623,2.3307954915473688,4.548524498939514,6.284126043319702,6.332392930984497,32.0,128.0,0,16,enabled,0,0
mixed_a_c011,mixed,11,22,128,2816,2816,133.16372513771057,23.576627104717293,2.1433297367924813,21.14690015683962,114.39295315742493,2.113225407815526,2.0416176103053103,2.143636040405037,2.1503739152573615,5.467356085777283,7.640974175930023,7.736599922180176,32.0,128.0,0,21,enabled,0,0
mixed_a_c015,mixed,15,15,128,1920,1920,86.38545298576355,24.633515353412733,1.6422343568941822,22.225964368288015,74.00486588478088,1.6064027420746856,1.5769085300157977,1.6513878517526133,1.6569768963914628,6.002434015274048,9.518523621559144,9.59044098854065,33.0,128.0,0,15,enabled,0,0
mixed_a_c022,mixed,22,22,128,2816,2816,94.21692490577698,34.50181410023223,1.5682642772832833,29.888472828169483,75.93803596496582,1.5277231713141712,1.4536335000743887,1.5788771503238015,1.5808571779869607,9.540101289749146,13.507635521888734,13.673582077026367,32.0,128.0,0,21,disabled_after_budget,0,0
mixed_a_c032,mixed,32,32,128,4096,4096,125.32982301712036,38.48376553336754,1.2026176729177356,32.681766409583744,95.78064799308777,1.1582562072663283,1.105608961187674,1.2219921768679796,1.2311679894765115,12.387949347496033,20.81375436782837,21.756276845932007,33.0,128.0,0,31,disabled_after_budget,0,0
mixed_a_c048,mixed,48,48,128,6144,6144,160.68228101730347,46.00554434482803,0.9584488405172507,38.23694785200596,115.4208710193634,0.9261953668314677,0.8710783114534979,0.9800772311879318,0.9973312270190785,18.723551630973816,31.240529215335847,32.633673906326294,33.0,128.0,0,44,disabled_after_budget,0,0
mixed_a_c064,mixed,64,64,128,8192,8192,193.68277192115784,53.74387113882796,0.8397479865441869,42.29596633062803,124.0699610710144,0.788937091369148,0.740302835567973,0.8634132964570066,0.8843512063104243,25.214866876602173,47.4880935549736,50.02560782432556,33.0,128.0,0,60,disabled_after_budget,0,0
mixed_a_c096,mixed,96,96,128,12288,12288,314.3746991157532,46.427752366765695,0.48362242048714266,39.08711494456347,194.9049768447876,0.48263197028092447,0.4584181271910198,0.516256693168734,0.5482335936573683,38.751909613609314,73.96865719556808,82.49626898765564,33.0,128.0,0,86,disabled_after_budget,0,0
mixed_a_c128,mixed,128,128,128,16384,16384,392.0557110309601,50.362430502023514,0.3934564882970587,41.7899791764701,214.52499198913574,0.40065552420603556,0.3872203026080367,0.4443103019982741,0.4592584638264386,56.421632528305054,108.72714453935623,114.76798295974731,33.0,128.0,0,109,disabled_after_budget,0,0
mixed_a_c176,mixed,176,176,128,22528,22528,496.563099861145,57.9380863763043,0.32919367259263804,45.36784953674478,203.75198316574097,0.3314082031027492,0.3275014129372021,0.37638028136348,0.40179234560794336,77.46212041378021,164.8680720925331,179.7614438533783,33.0,128.0,0,141,disabled_after_budget,0,0
