phase,streams,family,role,installed_box,profile_windows,profiled_seconds,frames,rows,rows_per_frame,compute_ms_per_row,attention_ms_per_row,moe_ms_per_row,moe_fallbacks,moe_nonfinite,spec_sent,spec_hits,spec_misses,system_samples,mean_pkg_w,mean_mhz,mean_temp,mean_swapin_s,min_mem_available_mib
mixed_a_c001,1,mixed,0,8,12,122.59,2499,2499,1.0,37.84633853541416,10.433373349339735,14.191276510604242,0,0,2267,367,232,51,34.990196078431374,2180.1960784313724,69.98039215686275,9.176470588235293,18404
mixed_a_c001,1,mixed,1,1,8,80.207,1648,1648,1.0,35.93446601941748,10.347087378640778,21.527912621359224,0,0,0,0,0,51,17.768627450980393,1339.8235294117646,53.31372549019608,0.13725490196078433,8743
mixed_a_c001,1,mixed,2,2,8,80.233,1629,1629,1.0,38.446286065070595,10.634131368937998,23.5463474524248,0,0,0,0,0,51,18.498039215686273,1585.1176470588234,53.6078431372549,0.23529411764705882,7311
mixed_a_c001,1,mixed,3,3,9,90.299,1839,1839,1.0,40.23273518216422,11.33768352365416,24.69059271343121,0,0,0,0,0,51,19.31764705882353,1571.921568627451,54.76470588235294,0.1568627450980392,8206
mixed_a_c001,1,mixed,4,4,9,90.319,1811,1811,1.0,35.95085588072888,10.194919933738266,21.50745444505798,0,0,0,0,0,51,17.405882352941177,1373.5882352941176,53.21568627450981,0.11764705882352941,7627
mixed_a_c001,1,mixed,5,5,7,70.204,1418,1418,1.0,35.29901269393512,10.23836389280677,21.03314527503526,0,0,0,0,0,51,16.884313725490195,1380,53.15686274509804,0.35294117647058826,7609
mixed_a_c001,1,mixed,6,6,7,70.226,1439,1439,1.0,35.234885337039614,10.130646282140376,21.202223766504517,0,0,0,0,0,51,16.762745098039215,1449.1176470588234,53.80392156862745,0.3137254901960784,7710
mixed_a_c001,1,mixed,7,7,8,80.27,1642,1642,1.0,34.69975639464068,9.854445797807552,20.99086479902558,0,0,0,0,0,51,17.103921568627452,1371.0392156862745,53.745098039215684,0,7573
mixed_a_c001,1,mixed,8,0,5,50.169,1005,1005,1.0,38.26865671641791,10.735323383084577,23.223880597014926,0,0,0,0,0,51,18.935294117647057,1685.2941176470588,53.64705882352941,0,8661
mixed_a_c001,1,mixed,9,9,9,90.19,1843,1843,1.0,32.25773195876289,8.951166576234401,20.171459576776993,0,0,0,0,0,51,18.17450980392157,1649.8823529411766,62.76470588235294,0.2549019607843137,7444
mixed_a_c001,1,mixed,10,10,7,70.168,1433,1433,1.0,31.4284717376134,8.679692951849267,19.4026517794836,10,10,0,0,0,51,24.319607843137256,1617.3921568627452,62.627450980392155,0.5686274509803921,6340
mixed_a_c002,2,mixed,0,8,16,163.239,749,749,1.0,35.7196261682243,9.395193591455273,13.475300400534046,0,0,0,0,0,67,4.6805970149253735,1927.2089552238806,57.582089552238806,0.08955223880597014,18402
mixed_a_c002,2,mixed,1,1,23,234.471,1071,1071,1.0,36.31652661064426,10.436974789915967,21.563958916900095,0,0,0,0,0,67,4.523880597014926,1544.3731343283582,50.97014925373134,0.05970149253731343,8742
mixed_a_c002,2,mixed,2,2,11,112.176,514,514,1.0,38.77626459143969,11.108949416342412,23.780155642023345,0,0,0,0,0,67,7.255223880597015,1517.44776119403,52.80597014925373,0.029850746268656716,7334
mixed_a_c002,2,mixed,3,3,20,203.989,935,935,1.0,40.93048128342246,12.02994652406417,24.98181818181818,0,0,0,0,0,67,7.767164179104477,1552,53.776119402985074,1.1791044776119404,8289
mixed_a_c002,2,mixed,4,4,15,153.197,699,699,1.0,36.32331902718169,10.36766809728183,21.668097281831187,0,0,0,0,0,67,4.335820895522388,1391.2537313432836,49.25373134328358,0,7624
mixed_a_c002,2,mixed,5,5,15,152.246,697,697,1.0,35.505021520803446,10.32568149210904,21.078909612625537,0,0,0,0,0,67,4.1850746268656716,1488.8955223880596,50.16417910447761,0,7605
mixed_a_c002,2,mixed,6,6,22,223.821,1023,1023,1.0,35.70576735092864,10.463343108504398,21.425219941348974,0,0,0,0,0,67,4.147761194029851,1619.1940298507463,50.208955223880594,0,7710
mixed_a_c002,2,mixed,7,7,24,244.879,1121,1121,1.0,34.86440677966102,10.00178412132025,21.04192685102587,0,0,0,0,0,67,4.295522388059702,1573.6567164179105,50.67164179104478,0,7569
mixed_a_c002,2,mixed,8,0,14,142.875,650,650,1.0,38.51846153846154,11.195384615384615,23.444615384615386,0,0,0,0,0,67,7.937313432835821,1575.8358208955224,52.76119402985075,0.029850746268656716,8688
mixed_a_c002,2,mixed,9,9,21,213.649,972,972,1.0,33.93724279835391,9.233539094650206,20.94341563786008,0,0,0,0,0,67,4.291044776119403,1974.910447761194,61.83582089552239,0.14925373134328357,7444
mixed_a_c002,2,mixed,10,10,19,193.655,884,884,1.0,32.15950226244344,8.830316742081449,19.79524886877828,6,6,0,0,0,67,5.7880597014925375,1704.5074626865671,61.83582089552239,0.2835820895522388,6343
mixed_a_c004,4,mixed,0,8,4,40.218,375,375,1.0,35.536,9.48,13.477333333333334,0,0,0,0,0,33,8.124242424242425,1985.7575757575758,60.696969696969695,0.06060606060606061,18398
mixed_a_c004,4,mixed,1,1,9,90.684,835,835,1.0,36.532934131736525,10.661077844311377,21.473053892215567,0,0,0,0,0,33,7.912121212121212,1558.7878787878788,47.81818181818182,0,8738
mixed_a_c004,4,mixed,2,2,7,70.602,658,658,1.0,38.536474164133736,11.183890577507599,23.480243161094226,0,0,0,0,0,33,10.63030303030303,1410.5757575757575,51.03030303030303,0,7354
mixed_a_c004,4,mixed,3,3,9,90.875,838,838,1.0,41.16706443914081,12.162291169451073,24.943914081145586,0,0,0,0,0,33,11.527272727272727,1613.3333333333333,51.81818181818182,1.5454545454545454,8368
mixed_a_c004,4,mixed,4,4,6,60.486,560,560,1.0,35.875,10.375,21.446428571428573,0,0,0,0,0,33,7.86060606060606,1477.6060606060605,47.39393939393939,0,7620
mixed_a_c004,4,mixed,5,5,9,90.597,838,838,1.0,35.83890214797136,10.522673031026253,21.118138424821,0,0,0,0,0,33,7.757575757575758,1450.6969696969697,48.878787878787875,0,7607
mixed_a_c004,4,mixed,6,6,7,70.392,653,653,1.0,35.781010719754974,10.422664624808576,21.396630934150078,0,0,0,0,0,33,7.718181818181818,1470.8484848484848,48.303030303030305,0,7707
mixed_a_c004,4,mixed,7,7,8,80.352,739,739,1.0,35.23680649526387,10.246278755074425,21.14343707713126,0,0,0,0,0,33,7.884848484848485,1509.878787878788,47.878787878787875,0,7572
mixed_a_c004,4,mixed,8,0,10,101.154,931,931,1.0,38.58216970998926,11.313641245972073,23.284640171858218,0,0,0,0,0,33,11.757575757575758,1496.909090909091,51.39393939393939,0.030303030303030304,8666
mixed_a_c004,4,mixed,9,9,7,70.335,649,649,1.0,33.64869029275809,9.229583975346687,20.882896764252695,0,0,0,0,0,33,8.287878787878787,1798.2121212121212,62.72727272727273,0,7445
mixed_a_c004,4,mixed,10,10,8,80.366,739,739,1.0,32.41407307171854,8.78619756427605,19.794316644113668,3,3,0,0,0,33,11.360606060606061,1890.4848484848485,62.45454545454545,0.06060606060606061,6341
mixed_a_c006,6,mixed,0,8,7,70.328,978,978,1.0,35.15439672801636,9.387525562372188,13.3200408997955,0,0,0,0,0,22,12.131818181818183,1973.090909090909,62.18181818181818,0,18396
mixed_a_c006,6,mixed,1,1,2,20.144,281,281,1.0,36.380782918149464,10.469750889679716,21.348754448398576,0,0,0,0,0,22,11.827272727272728,1626.909090909091,50.54545454545455,0,8742
mixed_a_c006,6,mixed,2,2,7,70.41,979,979,1.0,38.6414708886619,11.070480081716036,23.35546475995914,0,0,0,0,0,22,13.831818181818182,1581.590909090909,51.81818181818182,0,7359
mixed_a_c006,6,mixed,3,3,5,50.361,701,701,1.0,40.639087018544934,11.830242510699001,24.680456490727533,0,0,0,0,0,22,14.922727272727272,1597.3181818181818,53.5,1.7727272727272727,8378
mixed_a_c006,6,mixed,4,4,6,60.404,840,840,1.0,35.96190476190476,10.208333333333334,21.385714285714286,0,0,0,0,0,22,11.736363636363636,1465.6818181818182,49.09090909090909,0,7622
mixed_a_c006,6,mixed,5,5,4,40.225,559,559,1.0,34.688729874776385,10.1824686940966,20.844364937388193,0,0,0,0,0,22,11.672727272727272,1697.2272727272727,50.09090909090909,0,7606
mixed_a_c006,6,mixed,6,6,5,50.142,695,695,1.0,35.663309352517985,10.18273381294964,21.123741007194244,0,0,0,0,0,22,11.504545454545454,1573,50.40909090909091,0.3181818181818182,7705
mixed_a_c006,6,mixed,7,7,6,60.344,839,839,1.0,34.48986889153755,9.817640047675804,20.831942789034564,0,0,0,0,0,22,11.663636363636364,1520,50.22727272727273,0,7574
mixed_a_c006,6,mixed,8,0,2,20.066,281,281,1.0,38.3914590747331,10.99644128113879,23.11387900355872,0,0,0,0,0,22,14.854545454545455,1603.909090909091,51.81818181818182,0.09090909090909091,8653
mixed_a_c006,6,mixed,9,9,3,30.061,419,419,1.0,32.88305489260143,9.116945107398568,20.43436754176611,0,0,0,0,0,22,12.445454545454545,1840.2727272727273,64,0,7444
mixed_a_c006,6,mixed,10,10,6,60.215,840,840,1.0,31.957142857142856,8.730952380952381,19.55,7,7,0,0,0,22,16.40909090909091,1804.0454545454545,63.04545454545455,0.045454545454545456,6349
mixed_a_c008,8,mixed,0,8,7,70.271,1309,1309,1.0,34.701298701298704,9.297173414820474,13.294117647058824,0,0,0,0,0,22,16.922727272727272,1718.909090909091,64.22727272727273,0,18395
mixed_a_c008,8,mixed,1,1,4,40.146,744,744,1.0,36.204301075268816,10.61021505376344,21.456989247311828,0,0,0,0,0,22,16.245454545454546,1362.909090909091,53.04545454545455,0,8740
mixed_a_c008,8,mixed,2,2,6,60.131,1122,1122,1.0,37.92602495543672,10.571301247771837,23.3048128342246,0,0,0,0,0,22,17.445454545454545,1679.8181818181818,54.45454545454545,0,7377
mixed_a_c008,8,mixed,3,3,5,50.14,934,934,1.0,39.91648822269807,11.184154175588866,24.558886509635975,0,0,0,0,0,22,18.21818181818182,1501.0454545454545,56.13636363636363,15.636363636363637,8373
mixed_a_c008,8,mixed,4,4,6,60.185,1120,1120,1.0,35.76607142857143,10.26875,21.466964285714287,0,0,0,0,0,22,15.404545454545454,1241.5454545454545,51.63636363636363,0,7624
mixed_a_c008,8,mixed,5,5,3,30.092,560,560,1.0,35.56071428571428,10.264285714285714,21.03035714285714,0,0,0,0,0,22,14.995454545454546,1514.4545454545455,51.77272727272727,0,7607
mixed_a_c008,8,mixed,6,6,5,50.188,931,931,1.0,35.443609022556394,10.17937701396348,21.192266380236305,0,0,0,0,0,22,15.040909090909091,1532.7727272727273,52.5,0,7707
mixed_a_c008,8,mixed,7,7,3,30.253,559,559,1.0,34.89266547406082,9.906976744186046,20.958855098389982,0,0,0,0,0,22,15.122727272727273,1320.8636363636363,52.40909090909091,0.13636363636363635,7574
mixed_a_c008,8,mixed,8,0,4,40.098,750,750,1.0,37.748,10.613333333333333,23.132,0,0,0,0,0,22,18.14090909090909,1577.7272727272727,54.09090909090909,14.909090909090908,8644
mixed_a_c008,8,mixed,9,9,2,20.064,374,374,1.0,32.331550802139034,8.922459893048128,20.197860962566846,0,0,0,0,0,22,17.222727272727273,1530.909090909091,63.5,0.09090909090909091,7441
mixed_a_c008,8,mixed,10,10,2,20.037,373,373,1.0,31.780160857908847,8.60857908847185,19.56300268096515,0,0,0,0,0,22,22.76818181818182,1563.2727272727273,63.22727272727273,0,6344
mixed_a_c011,11,mixed,0,8,6,60.154,1414,1414,1.0,34.104667609618105,9.135785007072135,13.148514851485148,0,0,0,0,0,22,21.7,1594.6363636363637,63.86363636363637,0,18384
mixed_a_c011,11,mixed,1,1,5,50.116,1190,1190,1.0,34.53781512605042,9.49327731092437,21.209243697478993,0,0,0,0,0,22,21.37727272727273,1424.7727272727273,55.04545454545455,0,8737
mixed_a_c011,11,mixed,2,2,6,60.107,1411,1411,1.0,37.478384124734234,10.138199858256556,23.22537207654146,0,0,0,0,0,22,21.213636363636365,1602.6818181818182,57,0.045454545454545456,7370
mixed_a_c011,11,mixed,3,3,5,50.101,1183,1183,1.0,39.175824175824175,10.806424344885883,24.27810650887574,0,0,0,0,0,22,22.09090909090909,1569.6818181818182,58,2.272727272727273,8371
mixed_a_c011,11,mixed,4,4,6,60.12,1420,1420,1.0,34.99929577464789,9.623239436619718,21.38661971830986,0,0,0,0,0,22,20.472727272727273,1459.409090909091,54.95454545454545,0,7623
mixed_a_c011,11,mixed,5,5,5,50.133,1182,1182,1.0,34.766497461928935,9.743654822335026,21.0253807106599,0,0,0,0,0,22,20.0,1397.1363636363637,54.86363636363637,0,7605
mixed_a_c011,11,mixed,6,6,8,80.206,1888,1888,1.0,34.773305084745765,9.708156779661017,21.15625,0,0,0,0,0,22,20.095454545454544,1461.9545454545455,55.81818181818182,0,7701
mixed_a_c011,11,mixed,7,7,7,70.175,1650,1650,1.0,34.4,9.412121212121212,20.913939393939394,0,0,0,0,0,22,20.345454545454544,1382.7272727272727,55.72727272727273,0,7571
mixed_a_c011,11,mixed,8,0,4,40.107,946,946,1.0,37.24735729386892,10.271670190274842,22.98520084566596,0,0,0,0,0,22,21.69090909090909,1813.1363636363637,56.45454545454545,3.6363636363636362,8612
mixed_a_c011,11,mixed,9,9,6,60.132,1407,1407,1.0,32.22459132906894,8.861407249466952,20.13859275053305,0,0,0,0,0,22,22.09090909090909,1737.3636363636363,62.95454545454545,0,7440
mixed_a_c011,11,mixed,10,10,6,60.168,1408,1408,1.0,31.142755681818183,8.553267045454545,19.290482954545453,8,8,0,0,0,22,28.386363636363637,1546.3181818181818,63.68181818181818,0,6328
mixed_a_c015,15,mixed,0,8,6,60.171,1091,1486,1.3620531622364802,27.88156123822342,6.909152086137281,11.642664872139973,0,0,0,0,0,15,18.326666666666668,1742.9333333333334,62.53333333333333,0,18386
mixed_a_c015,15,mixed,1,1,5,50.176,902,1228,1.3614190687361418,30.644951140065146,7.263843648208469,18.60342019543974,0,0,0,0,0,15,18.82,1399.1333333333334,56.4,0,8737
mixed_a_c015,15,mixed,2,2,4,40.173,730,995,1.3630136986301369,32.1929648241206,7.770854271356784,20.299497487437186,0,0,0,0,0,15,19.46,1751.3333333333333,57.46666666666667,0,7369
mixed_a_c015,15,mixed,3,3,6,60.187,1091,1487,1.3629697525206232,33.855413584398114,8.305312710154674,21.439139206455952,0,0,0,0,0,15,20.573333333333334,1704.0666666666666,59.53333333333333,1.5333333333333334,8366
mixed_a_c015,15,mixed,4,4,5,50.272,909,1238,1.361936193619362,30.195476575121162,7.215670436187399,18.509693053311793,0,0,0,0,0,15,18.37333333333333,1247.7333333333333,56,0,7622
mixed_a_c015,15,mixed,5,5,4,40.088,726,990,1.3636363636363635,29.51010101010101,7.179797979797979,18.026262626262625,0,0,0,0,0,15,17.46666666666667,1370.9333333333334,55.53333333333333,0,7606
mixed_a_c015,15,mixed,6,6,4,40.14,728,995,1.3667582417582418,29.626130653266333,7.152763819095477,18.246231155778894,0,0,0,0,0,15,17.566666666666666,1468.3333333333333,56.13333333333333,0,7704
mixed_a_c015,15,mixed,7,7,3,30.111,540,739,1.3685185185185185,29.675236806495263,6.9851150202977,18.110960757780784,0,0,0,0,0,15,17.766666666666666,1398.8666666666666,56.266666666666666,0,7569
mixed_a_c015,15,mixed,8,0,4,40.181,732,997,1.3620218579234973,31.970912738214643,7.819458375125376,20.076228686058176,0,0,0,0,0,15,20.066666666666666,1635.6666666666667,56.93333333333333,9.8,8608
